X_Value		Untitled	X_Value	Untitled	X_Value	SP
104.537453	72.537453	53.377097	77.527752	54.759975	77.527752	55
104.968496	72.968496	53.223127	78.169816	55.097822	78.169816	55
105.614561	73.614561	53.094208	78.815881	54.840563	78.815881	55
106.101609	74.101609	53.306941	79.559955	54.807848	79.559955	55
106.536653	74.536653	53.292944	80.170016	54.950048	80.170016	55
107.127712	75.127712	53.183357	80.989098	54.934679	80.989098	55
107.675767	75.675767	53.181371	81.638163	54.840563	81.638163	55
108.11181	76.11181	53.409263	82.350234	54.917131	82.350234	55
108.640863	76.640863	53.074459	83.065306	54.8799	83.065306	55
109.243924	77.243924	53.270971	83.655365	54.820927	83.655365	55
109.680967	77.680967	53.270971	84.406439	54.812206	84.406439	55
110.159015	78.159015	53.235075	85.047504	54.919324	85.047504	55
110.80908	78.80908	53.179385	85.71357	54.593431	85.71357	55
111.263125	79.263125	53.441489	86.457645	54.853665	86.457645	55
111.70817	79.70817	53.379106	87.063705	54.906173	87.063705	55
112.335233	80.335233	53.139716	87.826782	54.770844	87.826782	55
112.845284	80.845284	53.346996	88.451844	55.086752	88.451844	55
113.277327	81.277327	53.280955	89.096909	54.703565	89.096909	55
113.844384	81.844384	53.149625	89.840983	54.820927	89.840983	55
114.41044	82.41044	53.405239	90.441043	54.906173	90.441043	55
114.846484	82.846484	53.379106	91.21412	54.751285	91.21412	55
115.356535	83.356535	53.219146	91.822181	55.058001	91.822181	55
115.978597	83.978597	53.193291	92.498249	54.770844	92.498249	55
116.41664	84.41664	53.427383	93.235322	54.844929	93.235322	55
116.869686	84.869686	53.322952	93.805379	54.932485	93.805379	55
117.525752	85.525752	53.249026	94.538453	54.897411	94.538453	55
118.000799	86.000799	53.387143	95.21152	55.164389	95.21152	55
118.470846	86.470846	53.457624	95.853584	54.925903	95.853584	55
119.10891	87.10891	53.161523	96.596658	55.044747	96.596658	55
119.621961	87.621961	53.387143	97.173717	55.069054	97.173717	55
120.065005	88.065005	53.35903	97.898789	54.853665	97.898789	55
120.666066	88.666066	53.155573	98.547853	55.193312	98.547853	55
121.246124	89.246124	53.391162	99.158915	54.939069	99.158915	55
121.787178	89.787178	53.429397	99.931992	55.042539	99.931992	55
122.447244	90.447244	53.411275	100.527051	55.131074	100.527051	55
123.026302	91.026302	53.487918	101.275126	54.985226	101.275126	55
123.496348	91.496348	53.621841	101.925191	55.186633	101.925191	55
124.11041	92.11041	53.477814	102.527252	55.058001	102.527252	55
124.642463	92.642463	53.55678	103.292328	55.153277	103.292328	55
125.080507	93.080507	53.623878	103.861385	55.197765	103.861385	55
125.635562	93.635562	53.463678	104.562455	55.084539	104.562455	55
126.226622	94.226622	53.593347	105.235522	55.231204	105.235522	55
126.673666	94.673666	53.514215	105.826581	55.133293	105.826581	55
127.197719	95.197719	53.423354	106.604659	55.177732	106.604659	55
127.823781	95.823781	53.481855	107.175716	55.365589	107.175716	55
128.266826	96.266826	53.666712	107.887787	55.137732	107.887787	55
128.729872	96.729872	53.46166	108.573856	55.430906	108.573856	55
129.381938	97.381938	53.496005	109.158915	55.157721	109.158915	55
129.863986	97.863986	53.568961	109.955994	55.073476	109.955994	55
130.30303	98.30303	53.587247	110.575057	55.307232	110.575057	55
130.944093	98.944093	53.469735	111.279127	55.080113	111.279127	55
131.469146	99.469146	53.599449	111.980197	55.361094	111.980197	55
131.942194	99.942194	53.730135	112.61326	55.430906	112.61326	55
132.572256	100.572256	53.536498	113.394338	55.347613	113.394338	55
133.11031	101.11031	53.629991	113.986398	55.415118	113.986398	55
133.557354	101.557354	53.732185	114.698469	55.066843	114.698469	55
134.131412	102.131412	53.493983	115.405539	55.300511	115.405539	55
134.70947	102.70947	53.575054	116.025601	55.177732	116.025601	55
135.153514	103.153514	53.723988	116.821681	55.111116	116.821681	55
135.700569	103.700569	53.621841	117.403739	55.313956	117.403739	55
136.362635	104.362635	53.617768	118.133812	55.162166	118.133812	55
136.865685	104.865685	53.773231	118.789877	55.381334	118.789877	55
137.425741	105.425741	53.632029	119.389937	55.164389	119.389937	55
138.019801	106.019801	53.681013	120.178016	55.186633	120.178016	55
138.469846	106.469846	53.773231	120.798079	55.293792	120.798079	55
138.996899	106.996899	53.627953	121.522151	55.035917	121.522151	55
139.652964	107.652964	53.67284	122.204219	55.291553	122.204219	55
140.136013	108.136013	53.806137	122.821281	55.128856	122.821281	55
140.654064	108.654064	53.726037	123.625361	55.155499	123.625361	55
141.326131	109.326131	53.775286	124.21042	55.208905	124.21042	55
141.775177	109.775177	53.855613	124.939493	55.222281	124.939493	55
142.261225	110.261225	53.824674	125.604559	55.406102	125.604559	55
142.930292	110.930292	53.695326	126.240623	55.111116	126.240623	55
143.401339	111.401339	53.874202	127.0137	55.349859	127.0137	55
143.844383	111.844383	53.890743	127.61576	55.307232	127.61576	55
144.497448	112.497448	53.742438	128.360835	55.153277	128.360835	55
145.000499	113.000499	53.925943	129.005899	55.437676	129.005899	55
145.442543	113.442543	53.828796	129.627962	55.113332	129.627962	55
146.058605	114.058605	53.769122	130.406039	55.20222	130.406039	55
146.599659	114.599659	53.940458	131.024101	55.2379	131.024101	55
147.049704	115.049704	54.042401	131.784177	55.2379	131.784177	55
147.630762	115.630762	53.880403	132.443243	55.451225	132.443243	55
148.21982	116.21982	53.868003	133.098309	55.186633	133.098309	55
148.678866	116.678866	53.896949	133.854384	55.249064	133.854384	55
149.250924	117.250924	53.752696	134.471446	55.435419	134.471446	55
149.887988	117.887988	53.946683	135.228521	55.408356	135.228521	55
150.348033	118.348033	54.098828	135.891588	55.446707	135.891588	55
150.901089	118.901089	53.810255	136.566655	55.388085	136.566655	55
151.524151	119.524151	53.861807	137.305729	55.532732	137.305729	55
151.972196	119.972196	54.109297	137.940793	55.403849	137.940793	55
152.480247	120.480247	53.839105	138.746873	55.349859	138.746873	55
153.144313	121.144313	53.878336	139.384937	55.406102	139.384937	55
153.601359	121.601359	54.050749	140.158014	55.246831	140.158014	55
154.090408	122.090408	53.957062	140.888087	55.489668	140.888087	55
154.747473	122.747473	53.979917	141.542153	55.419627	141.542153	55
155.221521	123.221521	54.092549	142.331232	55.523657	142.331232	55
155.676566	123.676566	54.031971	142.930292	55.401597	142.930292	55
156.338633	124.338633	53.930089	143.678366	55.367838	143.678366	55
156.849684	124.849684	54.046574	144.327431	55.530463	144.327431	55
157.301729	125.301729	54.036142	144.952494	55.408356	144.952494	55
157.924791	125.924791	53.932163	145.71957	55.442191	145.71957	55
158.466846	126.466846	54.08209	146.31863	55.61689	146.31863	55
158.91289	126.91289	54.075817	147.076706	55.249064	147.076706	55
159.504949	127.504949	53.952909	147.723771	55.662546	147.723771	55
160.107009	128.107009	54.054925	148.382837	55.345367	148.382837	55
160.574056	128.574056	54.100921	149.140913	55.370086	149.140913	55
161.162115	129.162115	53.950833	149.737972	55.50099	149.737972	55
161.768175	129.768175	54.189068	150.507049	55.302751	150.507049	55
162.21522	130.21522	54.094642	151.124111	55.455743	151.124111	55
162.757274	130.757274	54.063279	151.786177	55.403849	151.786177	55
163.385337	131.385337	54.212227	152.531251	55.428649	152.531251	55
163.835382	131.835382	54.345457	153.132311	55.458003	153.132311	55
164.338432	132.338432	54.096734	153.91539	55.325168	153.91539	55
164.998498	132.998498	54.241747	154.567455	55.51232	154.567455	55
165.449543	133.449543	54.245968	155.263525	55.275887	155.263525	55
165.91559	133.91559	54.142841	156.003599	55.41061	156.003599	55
166.578657	134.578657	54.069547	156.61666	55.446707	156.61666	55
167.079707	135.079707	54.252302	157.432742	55.271414	157.432742	55
167.548753	135.548753	54.212227	158.062805	55.480615	158.062805	55
168.21282	136.21282	54.059101	158.764875	55.264706	158.764875	55
168.72087	136.72087	54.300935	159.496948	55.406102	159.496948	55
169.180916	137.180916	54.281888	160.106009	55.426393	160.106009	55
169.828981	137.828981	54.065368	160.952094	55.388085	160.952094	55
170.358034	138.358034	54.264976	161.583157	55.489668	161.583157	55
170.81308	138.81308	54.366697	162.348233	55.253532	162.348233	55
171.445143	139.445143	54.30517	163.038302	55.498725	163.038302	55
172.003199	140.003199	54.307288	163.686367	55.496461	163.686367	55
172.464245	140.464245	54.381581	164.471446	55.367838	164.471446	55
173.071306	141.071306	54.208014	165.102509	55.47609	165.102509	55
173.651364	141.651364	54.243857	165.91859	55.401597	165.91859	55
174.110409	142.110409	54.324242	166.565655	55.532732	166.565655	55
174.70647	142.70647	54.279773	167.259724	55.401597	167.259724	55
175.296528	143.296528	54.328483	167.992797	55.696864	167.992797	55
175.753574	143.753574	54.390092	168.609859	55.510054	168.609859	55
176.325631	144.325631	54.296701	169.457944	55.455743	169.457944	55
176.933692	144.933692	54.483979	170.111009	55.603216	170.111009	55
177.391738	145.391738	54.39222	170.901088	55.487404	170.901088	55
177.936792	145.936792	54.315763	171.625161	55.66026	171.625161	55
178.565855	146.565855	54.34758	172.350233	55.498725	172.350233	55
179.021901	147.021901	54.511815	173.12131	55.770295	173.12131	55
179.550953	147.550953	54.39222	173.771375	55.758801	173.771375	55
180.198018	148.198018	54.343334	174.581456	55.667118	174.581456	55
180.651064	148.651064	54.48184	175.237522	55.848644	175.237522	55
181.162115	149.162115	54.456188	176.0166	55.460263	176.0166	55
181.832182	149.832182	54.377327	176.701668	55.710609	176.701668	55
182.295228	150.295228	54.623596	177.410739	55.530463	177.410739	55
182.789277	150.789277	54.364572	178.178816	55.804819	178.178816	55
183.456344	151.456344	54.516101	178.793878	55.632856	178.793878	55
183.940392	151.940392	54.533256	179.644962	55.596383	179.644962	55
184.425441	152.425441	54.381581	180.262024	55.878692	180.262024	55
185.106509	153.106509	54.375201	181.008099	55.505521	181.008099	55
185.603559	153.603559	54.531111	181.761174	55.964486	181.761174	55
186.063604	154.063604	54.638698	182.502248	55.657975	182.502248	55
186.736672	154.736672	54.351826	183.257324	55.765697	183.257324	55
187.248724	155.248724	54.589126	183.867385	55.853264	183.867385	55
187.705769	155.705769	54.54184	184.693467	55.706026	184.693467	55
188.367835	156.367835	54.456188	185.329531	55.980764	185.329531	55
188.907889	156.907889	54.681916	186.094607	55.635138	186.094607	55
189.385937	157.385937	54.578368	186.773675	55.827872	186.773675	55
190.044003	158.044003	54.370949	187.460744	55.623731	187.460744	55
190.590057	158.590057	54.775194	188.232821	55.731247	188.232821	55
191.060104	159.060104	54.636539	188.849883	55.719779	188.849883	55
